Country Code,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,Inflation_2010,Inflation_2011,Inflation_2012,Inflation_2013,Inflation_2014,Inflation_2015,Inflation_2016,Inflation_2017,Inflation_2018,Inflation_2019,Inflation_2020,Inflation_2021,TravelExp_2010,TravelExp_2011,TravelExp_2012,TravelExp_2013,TravelExp_2014,TravelExp_2015,TravelExp_2016,TravelExp_2017,TravelExp_2018,TravelExp_2019,TravelExp_2020,TravelExp_2021
ARM,2.2000000002151,4.69999999867412,7.20000000096486,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.50000000164144,5.19999999965324,7.59999999853918,-7.19999999920631,5.80000000000001,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,646000000.0,722000000.0,817000000.0,880000000.0,966000000.0,936000000.0,1017000000.0,1204000000.0,1329000000.0,1528000000.0,293000000.0,
ASM,0.299850074962521,0.0,-4.33482810164425,-2.5,1.76282051282051,3.14960629921259,-1.67938931297709,-6.98757763975155,2.6711185308848,-0.487804878048777,4.41176470588236,-0.782472613458523,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,646000000.0,722000000.0,817000000.0,880000000.0,966000000.0,936000000.0,22000000.0,22000000.0,1329000000.0,1528000000.0,293000000.0,
ATG,-7.84059474412177,-1.95861262834343,1.439268512944,0.485932080790846,2.21145251322996,1.44515529873077,4.09976553877765,2.46333336590416,6.95318609219737,3.10044514982847,-18.8803992026325,8.1917184618173,3.37002540220148,3.4567496723461,3.37688044338874,1.05949782356169,1.08944157435355,0.968993458825638,-0.489437796230499,2.43248789041363,1.20715793367008,1.43135598182984,0.625989707046719,2.06299638545334,298000000.0,312000000.0,319000000.0,299000000.0,708000000.0,710000000.0,753000000.0,737000000.0,775000000.0,909000000.0,386000000.0,
AUS,2.22653807797504,2.40897178005686,3.91840962538336,2.60619844706027,2.60740103188527,2.20181015336807,2.77914262537222,2.31870938698817,2.90636311509867,2.1811091061096,-0.33468635945016,2.11183088925151,2.91834002677376,3.3038501560874,1.76278015613196,2.4498886414254,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,28472000000.0,31582000000.0,31557000000.0,30617000000.0,33569000000.0,34269000000.0,37019000000.0,41747000000.0,45098000000.0,45729000000.0,25667000000.0,
AUT,1.83709367680054,2.92279728368581,0.680445576816723,0.0255047121972183,0.661272848852605,1.01450158590511,1.98943716230463,2.25857243250671,2.42538536088061,1.45052918393192,-6.63299143662553,4.23786673253257,1.81353438995062,3.2865791487538,2.48567562177015,2.00015616900597,1.60581182954474,0.89656333526032,0.891591752655362,2.08126911385587,1.9983798142954,1.53089564152644,1.38191063351862,2.7666666666667,18751000000.0,19791000000.0,18931000000.0,20221000000.0,20913000000.0,18292000000.0,19244000000.0,20333000000.0,23233000000.0,22983000000.0,13881000000.0,
AZE,5.04894451349574,0.10000013782458,2.1652394748416,5.80980084268208,2.75050681535518,1.09397591627469,-3.09999988037266,0.199999938958655,1.49999999999999,2.50000006743734,-4.30000010230737,5.61645102853028,5.72687224669605,7.8583333333334,1.06621339720303,2.41571745279419,1.37344181533176,4.02768573742726,12.4433748584372,12.9359184187335,2.26854690373999,2.61057182799215,2.75980947008127,6.65029912708779,657000000.0,1287000000.0,2433000000.0,2365000000.0,2432000000.0,2309000000.0,2714000000.0,3012000000.0,2634000000.0,1791500000.0,304000000.0,
BDI,5.12415999439806,4.03259998844415,4.44670633111495,4.92418989834684,4.24065021402657,-3.9000000804855,-0.600000909116389,0.500001262429279,1.60993542127714,1.81256532326668,0.327156891263598,3.09999999999975,6.49326591473993,9.5921660597967,18.1610453065451,7.93795807492418,4.40535234185293,5.54468891259779,5.55768961400965,16.0525353030392,-2.81469807668465,-0.686772170797359,7.32110643415521,8.40453845076341,1799999.95231628,2500000.0,1500000.0,2299999.95231628,4099999.90463257,2200000.04768372,1899999.97615814,3000000.0,3900000.09536743,1791500000.0,304000000.0,
BEL,2.86429270764155,1.69451389861332,0.739217283058679,0.459242192907709,1.57853314322614,2.04145900919961,1.26668640902095,1.6195802783878,1.79294519302076,2.24083533103139,-5.2607791859752,6.85099562281208,2.18929920422457,3.53208210722742,2.83966343445899,1.1130959402754,0.340002833356922,0.561429152790065,1.97385264653181,2.12597086002607,2.05316499865186,1.43681956996429,0.740791812220344,2.44024851144084,11393000000.0,12750000000.0,12498000000.0,13384000000.0,13918000000.0,7865000000.0,7648000000.0,8396000000.0,8880000000.0,8900000000.0,6603000000.0,
BEN,2.11406472648392,2.96375291904201,4.811223315688,7.19143372144946,6.35767909791932,1.77815106030278,3.33967342629693,5.67156195150444,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,2.20783532536518,2.7042390774728,6.74468253340751,0.428888888888244,-0.54875755094791,0.218785923535971,-0.794050173906468,1.7694124739201,0.644803622440754,-0.705026634542716,3.02272119663686,1.73353962694054,149000000.0,180000000.0,170000000.0,189000000.0,151000000.0,141000000.0,123000000.0,150000000.0,162000000.0,240000000.0,6603000000.0,
BFA,8.44628157707625,6.62256261306693,6.45267237953146,5.79258484509867,4.32684561452976,3.9212287937935,5.95797670754024,6.20348941121868,6.60456906812341,5.4864554268367,1.92199069027077,6.93786051737202,-0.764230734676758,2.75976724854523,3.818152402524,0.533738507090536,-0.258089517535384,0.724838981070517,0.441041448058902,1.48299897161325,1.95594302672523,-3.2333893398333,1.88443993781991,3.65353287214209,72000000.0,75000000.0,84000000.0,153000000.0,135000000.0,109000000.0,122000000.0,117000000.0,121000000.0,116000000.0,6603000000.0,
